date_of_journey,airlines,airlines_code,class,departure,total_stops,arrival,duration_in_minutes,source,destination,price_fare
2024-09-20,Vistara,UK-899,Premium Economy,12:19:00,0.0,03:13:00,1050.0,Chennai,Kolkata,12822
2024-08-11,Vistara,UK-945,Business,18:18:00,0.0,09:46:00,135.0,Banglore,Delhi,22152
2024-06-27,Vistara,UK-855,Business,02:36:00,0.0,03:38:00,334.8,Mumbai,Hyderabad,48225
2024-10-05,Air India,AI-813,Economy,04:10:00,2.0,23:13:00,1650.0,Delhi,Cochin,8297
2024-12-25,Air India,AI-433,Business,03:04:00,1.0,07:03:00,1620.0,Delhi,Cochin,29805
2024-08-10,Go First,G8-2519,Economy,23:05:00,2.0,22:28:00,850.2,Delhi,Cochin,6007
2024-09-15,Air India,AI-805,Business,17:54:00,0.0,07:34:00,130.2,Banglore,Delhi,22152
2024-11-16,Vistara,UK-819,Business,21:42:00,0.0,00:46:00,450.0,Banglore,New Delhi,60601
2024-03-25,Air India,AI-544,Business,04:41:00,0.0,01:27:00,435.0,Banglore,Delhi,41113
2024-05-31,Vistara,UK-945,Premium Economy,13:27:00,0.0,16:31:00,135.0,Mumbai,Hyderabad,7278
2024-01-04,Indigo,6E-7403,Economy,08:25:00,1.0,20:45:00,390.0,Kolkata,Banglore,9997
2024-06-20,Vistara,UK-801,Business,20:08:00,0.0,01:30:00,754.8,Chennai,Kolkata,68150
2024-01-19,Vistara,UK-801,Business,14:17:00,1.0,15:10:00,670.2,Delhi,Cochin,91435
2024-06-16,Vistara,UK-811,Premium Economy,00:39:00,1.0,19:15:00,880.2,Delhi,Cochin,29415
2024-10-18,Air India,AI-560,Economy,02:27:00,1.0,01:07:00,1015.2,Kolkata,Banglore,9069
2024-07-03,Vistara,UK-819,Premium Economy,19:30:00,1.0,00:51:00,550.2,Delhi,Cochin,11758
2024-08-23,Air India,AI-813,Economy,20:51:00,0.0,19:00:00,810.0,Mumbai,Hyderabad,9580
2024-12-19,Go First,G8-259,Economy,06:24:00,1.0,02:07:00,670.2,Delhi,Cochin,19523
2024-05-03,Vistara,UK-809,Premium Economy,23:51:00,1.0,07:38:00,1645.2,Delhi,Cochin,28664
2024-12-14,Indigo,6E-2176,Economy,05:12:00,0.0,11:44:00,135.0,Banglore,Delhi,6164
2024-02-28,Air India,AI-807,Business,23:47:00,0.0,13:58:00,940.2,Chennai,Kolkata,53164
2024-04-01,Vistara,UK-859,Premium Economy,03:13:00,1.0,23:41:00,1305.0,Kolkata,Banglore,20080
2024-02-10,Air India,AI-537,Business,05:56:00,1.0,13:23:00,364.8,Kolkata,Banglore,50969
2024-02-10,Vistara,UK-969,Premium Economy,16:23:00,1.0,10:21:00,940.2,Banglore,New Delhi,22432
2024-06-01,Spicejet,SG-8709,Economy,11:09:00,0.0,18:27:00,124.80000000000001,Banglore,Delhi,5021
2024-03-20,Vistara,UK-899,Premium Economy,12:33:00,1.0,15:09:00,505.2,Delhi,Cochin,23753
2024-05-04,Vistara,UK-879,Economy,08:55:00,1.0,09:01:00,985.2,Delhi,Cochin,11730
2024-12-07,Vistara,UK-781,Business,21:12:00,0.0,18:23:00,409.8,Kolkata,Banglore,39870
2024-10-19,Vistara,UK-833,Business,07:11:00,1.0,21:05:00,889.8,Delhi,Cochin,76841
2024-10-30,Vistara,UK-899,Premium Economy,19:22:00,1.0,15:00:00,1050.0,Delhi,Cochin,15118
2024-11-23,Air India,AI-805,Business,23:16:00,1.0,23:48:00,130.2,Kolkata,Banglore,22152
2024-12-01,Air India,AI-463,Business,07:24:00,1.0,13:06:00,1660.2,Delhi,Cochin,35532
2024-12-24,Vistara,UK-951,Business,21:27:00,1.0,15:33:00,130.2,Delhi,Cochin,30104
2024-08-07,Air India,AI-767,Business,14:21:00,1.0,21:43:00,499.8,Kolkata,Banglore,59033
2024-10-19,Air India,AI-839,Economy,10:57:00,1.0,02:26:00,745.2,Banglore,New Delhi,7704
2024-07-30,Air India,AI-811,Economy,05:11:00,1.0,13:19:00,1305.0,Delhi,Cochin,8339
2024-03-05,Vistara,UK-929,Economy,21:57:00,2.0,20:11:00,739.8,Kolkata,Banglore,14914
2024-02-28,Air India,AI-487,Economy,23:37:00,1.0,12:38:00,655.2,Delhi,Cochin,12707
2024-02-23,Go First,G8-323,Economy,00:52:00,0.0,09:16:00,130.2,Banglore,Delhi,11731
2024-10-27,Vistara,UK-955,Premium Economy,03:22:00,1.0,05:11:00,130.2,Delhi,Cochin,7838
2024-12-30,Vistara,UK-813,Business,10:11:00,1.0,13:30:00,349.8,Delhi,Cochin,77289
2024-02-01,Air India,AI-665,Economy,20:24:00,2.0,03:58:00,139.8,Kolkata,Banglore,5955
2024-01-18,Vistara,UK-837,Economy,08:29:00,0.0,07:55:00,925.2,Delhi,Cochin,12203
2024-01-02,Air India,AI-554,Business,23:42:00,0.0,15:18:00,625.2,Delhi,Cochin,50969
2024-09-05,Go First,G8-713,Economy,23:42:00,0.0,23:17:00,724.8,Kolkata,Banglore,4592
2024-06-05,Go First,G8-334,Economy,09:55:00,1.0,07:38:00,130.2,Kolkata,Banglore,5899
2024-12-10,Air India,AI-814,Business,12:41:00,1.0,19:27:00,135.0,Kolkata,Banglore,22152
2024-01-16,Vistara,UK-879,Economy,07:55:00,2.0,03:57:00,880.2,Delhi,Cochin,9840
2024-02-28,Vistara,UK-899,Business,06:24:00,1.0,12:22:00,505.2,Kolkata,Banglore,59571
2024-12-11,Vistara,UK-969,Economy,00:12:00,1.0,17:45:00,735.0,Delhi,Cochin,11867
2024-02-14,Vistara,UK-943,Economy,01:13:00,1.0,22:22:00,130.2,Delhi,Cochin,5955
2024-08-26,Spicejet,SG-2905,Economy,07:54:00,0.0,11:47:00,709.8,Banglore,Delhi,8043
2024-08-06,Vistara,UK-813,Premium Economy,09:47:00,0.0,10:50:00,349.8,Banglore,Delhi,18646
2024-05-28,Vistara,UK-781,Premium Economy,23:48:00,1.0,00:44:00,409.8,Delhi,Cochin,22790
2024-06-24,Spicejet,SG-8701,Economy,09:26:00,1.0,15:38:00,135.0,Kolkata,Banglore,6951
2024-03-08,Vistara,UK-801,Premium Economy,08:53:00,0.0,18:09:00,694.8,Chennai,Kolkata,10638
2024-05-11,Air India,AI-678,Business,03:27:00,2.0,13:40:00,139.8,Delhi,Cochin,22152
2024-04-30,Indigo,6E-2411,Economy,00:12:00,2.0,10:09:00,480.0,Banglore,New Delhi,8100
2024-01-02,Vistara,UK-833,Economy,08:54:00,0.0,04:19:00,889.8,Banglore,Delhi,13904
2024-02-25,Indigo,6E-2204,Economy,00:20:00,2.0,19:44:00,600.0,Delhi,Cochin,9355
2024-10-29,Vistara,UK-959,Economy,01:43:00,1.0,06:14:00,735.0,Delhi,Cochin,12722
2024-11-22,Air India,AI-429,Business,02:50:00,0.0,14:00:00,454.8,Banglore,New Delhi,50969
2024-06-06,Indigo,6E-864,Economy,18:13:00,1.0,10:40:00,135.0,Kolkata,Banglore,7319
2024-04-03,Air Asia,I5-740,Economy,12:30:00,2.0,07:03:00,649.8,Delhi,Cochin,4827
2024-05-07,Go First,G8-2501,Economy,04:51:00,1.0,14:12:00,130.2,Delhi,Cochin,5801
2024-12-27,Vistara,UK-879,Premium Economy,21:24:00,0.0,19:27:00,334.8,Mumbai,Hyderabad,28474
2024-01-05,Vistara,UK-899,Premium Economy,10:28:00,1.0,07:27:00,1155.0,Kolkata,Banglore,23753
2024-08-05,Air Asia,I5-740,Economy,08:47:00,0.0,00:55:00,649.8,Mumbai,Hyderabad,5291
2024-10-28,Indigo,6E-6184,Economy,17:46:00,1.0,13:50:00,360.0,Delhi,Cochin,8798
2024-10-14,Air India,AI-504,Economy,08:31:00,1.0,06:43:00,859.8,Kolkata,Banglore,7677
2024-07-19,Go First,G8-259,Economy,22:01:00,1.0,12:07:00,600.0,Delhi,Cochin,25613
2024-10-08,Vistara,UK-879,Economy,22:11:00,0.0,07:17:00,985.2,Banglore,Delhi,12990
2024-07-11,Air India,AI-558,Economy,21:23:00,1.0,08:03:00,750.0,Kolkata,Banglore,8958
2024-04-04,Vistara,UK-811,Premium Economy,01:14:00,1.0,22:00:00,1605.0,Kolkata,Banglore,11943
2024-11-08,Spicejet,SG-2976,Economy,13:29:00,2.0,13:36:00,859.8,Delhi,Cochin,4364
2024-11-26,Air India,AI-403,Business,07:49:00,1.0,07:11:00,1560.0,Delhi,Cochin,29806
2024-05-16,Indigo,6E-2033,Economy,20:36:00,1.0,12:47:00,495.0,Kolkata,Banglore,5219
2024-05-30,Indigo,6E-2114,Economy,11:32:00,0.0,06:31:00,135.0,Mumbai,Hyderabad,6164
2024-01-09,Vistara,UK-706,Economy,03:30:00,1.0,05:06:00,495.0,Delhi,Cochin,11993
2024-03-18,Vistara,UK-995,Business,09:11:00,2.0,08:15:00,135.0,Delhi,Cochin,41528
2024-10-12,Indigo,6E-902,Economy,04:38:00,0.0,13:19:00,375.0,Banglore,New Delhi,10102
2024-06-02,Go First,G8-286,Economy,12:05:00,1.0,20:46:00,865.2,Delhi,Cochin,16931
2024-05-30,Air India,AI-811,Business,09:16:00,1.0,19:56:00,1305.0,Delhi,Cochin,32646
2024-09-16,Go First,G8-113,Economy,20:36:00,1.0,23:45:00,979.8,Kolkata,Banglore,6007
2024-04-18,Vistara,UK-815,Premium Economy,09:02:00,2.0,16:20:00,724.8,Kolkata,Banglore,10638
2024-04-14,Go First,G8-194,Economy,00:14:00,1.0,08:21:00,630.0,Delhi,Cochin,11546
2024-03-16,Air India,AI-537,Business,10:58:00,0.0,21:00:00,364.8,Kolkata,Banglore,50969
2024-01-19,Vistara,UK-819,Premium Economy,04:16:00,0.0,19:41:00,1090.2,Kolkata,Banglore,10638
2024-02-22,Spicejet,SG-2976,Economy,14:32:00,1.0,19:45:00,859.8,Kolkata,Banglore,5659
2024-05-06,Go First,G8-713,Economy,04:26:00,0.0,22:46:00,859.8,Kolkata,Banglore,6007
2024-03-22,Air India,AI-453,Business,06:56:00,0.0,21:46:00,775.2,Kolkata,Banglore,59993
2024-06-21,Air India,AI-441,Economy,19:59:00,0.0,11:24:00,145.2,Chennai,Kolkata,6480
2024-04-03,Vistara,UK-707,Economy,09:14:00,1.0,06:01:00,364.8,Delhi,Cochin,17084
2024-02-06,Vistara,UK-981,Premium Economy,05:37:00,1.0,00:29:00,120.0,Kolkata,Banglore,7838
2024-07-29,Vistara,UK-979,Premium Economy,09:14:00,1.0,22:25:00,1009.8,Delhi,Cochin,14515
2024-01-21,Vistara,UK-951,Premium Economy,17:53:00,1.0,13:59:00,130.2,Delhi,Cochin,7278
2024-12-12,Air India,AI-542,Business,10:20:00,0.0,17:43:00,859.8,Banglore,New Delhi,41113
2024-12-16,Vistara,UK-899,Business,01:11:00,1.0,18:30:00,505.2,Delhi,Cochin,41281
2024-02-03,Air India,AI-678,Business,23:06:00,1.0,11:04:00,139.8,Delhi,Cochin,22152
2024-03-13,Vistara,UK-945,Business,11:37:00,0.0,05:27:00,135.0,Kolkata,Banglore,41528
2024-11-03,Air India,AI-605,Business,04:51:00,1.0,16:01:00,135.0,Delhi,Cochin,22152
2024-10-21,Vistara,UK-705,Economy,14:19:00,0.0,13:22:00,330.0,Mumbai,Hyderabad,15563
2024-02-15,Air India,AI-636,Business,22:19:00,1.0,05:42:00,225.0,Delhi,Cochin,22152
2024-04-27,Air India,AI-815,Business,05:25:00,0.0,15:21:00,355.2,Mumbai,Hyderabad,53164
2024-12-28,Air India,AI-502,Business,18:31:00,1.0,11:25:00,480.0,Delhi,Cochin,53164
2024-11-16,Vistara,UK-929,Business,09:03:00,0.0,16:07:00,535.2,Kolkata,Banglore,22297
2024-04-04,Air India,AI-544,Economy,00:11:00,1.0,11:47:00,1324.8,Delhi,Cochin,9489
2024-10-23,Air India,AI-453,Economy,10:01:00,1.0,13:29:00,775.2,Delhi,Cochin,16100
2024-01-26,Go First,G8-113,Economy,03:19:00,1.0,20:40:00,889.8,Delhi,Cochin,9746
2024-08-06,Vistara,UK-959,Economy,12:18:00,1.0,11:40:00,735.0,Kolkata,Banglore,22892
2024-05-11,Air Asia,I5-784,Economy,08:13:00,1.0,13:03:00,490.2,Delhi,Cochin,12344
2024-03-01,Vistara,UK-819,Premium Economy,19:20:00,1.0,01:58:00,550.2,Delhi,Cochin,14743
2024-08-29,Air Asia,I5-740,Economy,19:42:00,1.0,22:18:00,649.8,Delhi,Cochin,5291
2024-11-28,Indigo,6E-6231,Economy,12:50:00,2.0,02:49:00,270.0,Delhi,Cochin,8369
2024-10-23,Vistara,UK-945,Premium Economy,01:28:00,1.0,21:35:00,135.0,Kolkata,Banglore,8622
2024-01-19,Vistara,UK-977,Economy,21:40:00,1.0,17:17:00,135.0,Banglore,New Delhi,11730
2024-05-28,Vistara,UK-899,Business,03:39:00,0.0,03:47:00,1429.8,Mumbai,Hyderabad,41281
2024-03-19,Vistara,UK-813,Premium Economy,11:55:00,0.0,04:58:00,349.8,Banglore,New Delhi,14558
2024-07-31,Air Asia,I5-740,Economy,12:32:00,0.0,05:29:00,649.8,Kolkata,Banglore,4827
2024-06-21,Air India,AI-839,Business,22:00:00,2.0,15:04:00,1045.2,Banglore,New Delhi,41113
2024-08-23,Indigo,6E-5318,Economy,15:55:00,1.0,07:52:00,135.0,Delhi,Cochin,7319
2024-04-14,Vistara,UK-839,Business,06:10:00,1.0,03:58:00,529.8,Delhi,Cochin,57689
2024-04-01,Vistara,UK-963,Economy,14:14:00,1.0,14:52:00,145.2,Kolkata,Banglore,10155
2024-02-09,Air India,AI-624,Business,08:32:00,1.0,07:41:00,145.2,Delhi,Cochin,22152
2024-07-08,Vistara,UK-809,Premium Economy,10:21:00,2.0,19:48:00,930.0,Kolkata,Banglore,21407
2024-03-05,Vistara,UK-817,Business,07:37:00,0.0,17:17:00,435.0,Kolkata,Banglore,58025
2024-11-08,Vistara,UK-837,Economy,05:35:00,2.0,02:26:00,925.2,Delhi,Cochin,10378
2024-12-20,Vistara,UK-969,Economy,08:32:00,1.0,16:21:00,940.2,Delhi,Cochin,5351
2024-12-10,Vistara,UK-969,Business,21:46:00,1.0,13:15:00,735.0,Delhi,Cochin,22297
2024-01-06,Indigo,6E-2075,Economy,19:06:00,1.0,18:28:00,115.19999999999999,Kolkata,Banglore,7844
2024-04-20,Indigo,6E-5345,Economy,14:28:00,1.0,09:24:00,544.8,Delhi,Cochin,8140
2024-08-15,Vistara,UK-787,Premium Economy,12:19:00,1.0,16:54:00,859.8,Banglore,New Delhi,15286
2024-03-17,Air India,AI-665,Economy,19:12:00,1.0,05:37:00,139.8,Kolkata,Banglore,5955
2024-12-08,Vistara,UK-969,Economy,04:03:00,1.0,05:42:00,940.2,Kolkata,Banglore,6979
2024-01-14,Indigo,6E-5615,Economy,06:24:00,1.0,12:05:00,600.0,Delhi,Cochin,7634
2024-05-07,Indigo,UK-855,Economy,18:32:00,1.0,20:55:00,270.0,Delhi,Cochin,11782
2024-08-24,Indigo,6E-6492,Economy,03:08:00,1.0,20:00:00,319.8,Kolkata,Banglore,5798
2024-10-20,Indigo,6E-6492,Economy,09:22:00,1.0,14:48:00,400.2,Delhi,Cochin,7588
2024-07-29,Vistara,UK-951,Economy,16:37:00,1.0,09:28:00,130.2,Banglore,New Delhi,5955
2024-07-28,Vistara,UK-979,Premium Economy,11:53:00,1.0,09:16:00,1009.8,Delhi,Cochin,15992
2024-08-13,Vistara,UK-951,Premium Economy,11:47:00,2.0,00:49:00,130.2,Delhi,Cochin,15846
2024-11-04,Air India,AI-833,Economy,05:05:00,1.0,15:01:00,1050.0,Delhi,Cochin,23493
2024-09-28,Indigo,6E-2084,Economy,04:01:00,0.0,11:17:00,135.0,Banglore,New Delhi,7319
2024-03-31,Vistara,UK-819,Business,03:40:00,1.0,19:18:00,364.8,Kolkata,Banglore,72938
2024-10-25,Indigo,G8-194,Economy,07:42:00,0.0,11:53:00,540.0,Banglore,Delhi,8809
2024-02-01,Vistara,UK-811,Business,08:22:00,0.0,02:05:00,349.8,Banglore,Delhi,72938
2024-12-06,Air India,AI-767,Economy,11:05:00,1.0,13:50:00,439.8,Delhi,Cochin,14670
2024-03-08,Indigo,6E-607,Economy,11:57:00,1.0,14:45:00,570.0,Delhi,Cochin,5493
2024-02-20,Indigo,6E-2016,Economy,22:33:00,2.0,03:37:00,135.0,Delhi,Cochin,7319
2024-03-07,Vistara,UK-829,Premium Economy,12:31:00,0.0,12:29:00,435.0,Banglore,Delhi,12262
2024-01-04,Air Asia,I5-711,Economy,14:13:00,0.0,10:48:00,915.0,Mumbai,Hyderabad,11818
2024-03-24,Air Asia,I5-1228,Economy,09:21:00,0.0,12:57:00,570.0,Chennai,Kolkata,6375
2024-12-07,Go First,G8-184,Economy,18:36:00,0.0,16:31:00,495.0,Mumbai,Hyderabad,6873
2024-06-16,Vistara,UK-871,Premium Economy,05:58:00,0.0,16:55:00,694.8,Banglore,New Delhi,12168
2024-04-20,Vistara,UK-819,Economy,04:15:00,2.0,11:39:00,364.8,Kolkata,Banglore,7451
2024-12-20,Air India,AI-801,Economy,13:33:00,1.0,07:42:00,469.8,Delhi,Cochin,16245
2024-05-25,Indigo,6E-6822,Economy,18:42:00,0.0,01:30:00,520.2,Chennai,Kolkata,8002
2024-05-17,Vistara,UK-637,Economy,19:41:00,1.0,17:32:00,315.0,Kolkata,Banglore,10313
2024-09-11,Air India,AI-805,Economy,02:00:00,1.0,22:19:00,130.2,Banglore,New Delhi,5955
2024-02-10,Vistara,UK-859,Economy,04:01:00,1.0,15:39:00,385.2,Delhi,Cochin,10733
2024-01-17,Go First,G8-259,Economy,17:38:00,0.0,21:55:00,670.2,Chennai,Kolkata,16903
2024-07-19,Indigo,6E-2208,Economy,10:11:00,0.0,09:25:00,520.2,Kolkata,Banglore,7020
2024-12-27,Air India,AI-544,Economy,09:58:00,1.0,11:43:00,1324.8,Delhi,Cochin,9489
2024-04-06,Air India,AI-441,Economy,20:07:00,0.0,15:46:00,145.2,Delhi,Cochin,5955
2024-03-15,Air Asia,I5-548,Economy,08:37:00,2.0,23:30:00,765.0,Kolkata,Banglore,4827
2024-04-28,Vistara,UK-957,Premium Economy,18:51:00,1.0,07:02:00,135.0,Banglore,New Delhi,8622
2024-11-12,Air Asia,I5-1228,Economy,15:00:00,1.0,23:59:00,690.0,Delhi,Cochin,6375
2024-10-01,Air India,AI-481,Economy,18:32:00,0.0,10:00:00,814.8,Kolkata,Banglore,16004
2024-02-24,Vistara,UK-781,Economy,07:55:00,0.0,18:16:00,1035.0,Chennai,Kolkata,15668
2024-11-22,Air India,AI-805,Business,03:20:00,1.0,21:50:00,130.2,Delhi,Cochin,22152
2024-11-16,Air Asia,I5-1228,Economy,10:42:00,1.0,10:56:00,570.0,Delhi,Cochin,5291
2024-12-10,Air India,AI-560,Economy,23:53:00,2.0,08:41:00,465.0,Kolkata,Banglore,9489
2024-01-16,Indigo,6E-902,Economy,21:17:00,1.0,16:06:00,375.0,Kolkata,Banglore,8054
2024-10-21,Vistara,UK-801,Premium Economy,15:34:00,1.0,18:40:00,855.0,Delhi,Cochin,14558
2024-09-15,Indigo,UK-627,Economy,20:25:00,1.0,08:14:00,270.0,Kolkata,Banglore,11362
2024-12-02,Vistara,UK-855,Economy,04:52:00,0.0,19:30:00,915.0,Kolkata,Banglore,15615
2024-01-26,Vistara,UK-817,Economy,04:20:00,1.0,08:26:00,435.0,Delhi,Cochin,11011
2024-08-15,Vistara,UK-801,Business,22:27:00,0.0,19:09:00,754.8,Kolkata,Banglore,91435
2024-05-06,Indigo,6E-2526,Economy,15:09:00,1.0,03:24:00,145.2,Delhi,Cochin,5899
2024-11-07,Vistara,UK-963,Premium Economy,02:25:00,1.0,17:29:00,145.2,Kolkata,Banglore,8622
2024-09-02,Air India,AI-542,Economy,11:09:00,2.0,00:46:00,310.2,Banglore,New Delhi,12045
2024-10-07,Vistara,UK-813,Premium Economy,15:41:00,1.0,01:46:00,1075.2,Delhi,Cochin,11943
2024-08-30,Vistara,UK-635,Business,00:50:00,1.0,01:32:00,289.8,Delhi,Cochin,37417
2024-03-09,Air India,AI-441,Economy,11:30:00,1.0,18:26:00,145.2,Delhi,Cochin,5955
2024-03-02,Vistara,UK-819,Economy,07:30:00,0.0,20:28:00,550.2,Kolkata,Banglore,11258
2024-07-15,Vistara,UK-705,Business,18:27:00,1.0,06:39:00,769.8,Delhi,Cochin,91961
2024-10-28,Vistara,UK-859,Business,02:55:00,0.0,03:04:00,760.2,Delhi,Cochin,55696
2024-02-13,Air India,AI-540,Business,23:42:00,1.0,09:45:00,690.0,Delhi,Cochin,50969
2024-05-05,Air Asia,I5-740,Economy,22:00:00,1.0,23:54:00,990.0,Delhi,Cochin,6872
2024-10-21,Indigo,6E-2716,Economy,08:48:00,0.0,15:38:00,135.0,Chennai,Kolkata,5899
2024-03-17,Air India,AI-811,Business,10:02:00,1.0,01:29:00,1305.0,Kolkata,Banglore,32646
2024-03-19,Spicejet,SG-8709,Economy,11:07:00,2.0,09:20:00,115.19999999999999,Delhi,Cochin,5794
2024-11-15,Vistara,UK-829,Premium Economy,03:20:00,1.0,18:59:00,435.0,Delhi,Cochin,15118
2024-04-18,Go First,G8-2501,Economy,01:40:00,1.0,01:15:00,130.2,Delhi,Cochin,5801
2024-05-19,Indigo,6E-6822,Economy,10:16:00,2.0,20:02:00,520.2,Kolkata,Banglore,9892
2024-10-03,Vistara,UK-813,Business,13:41:00,0.0,15:23:00,349.8,Banglore,Delhi,60601
2024-12-18,Air Asia,I5-740,Economy,06:32:00,3.0,01:11:00,649.8,Delhi,Cochin,6872
2024-03-29,Air India,AI-439,Economy,22:27:00,1.0,19:38:00,990.0,Kolkata,Banglore,10281
2024-05-29,Indigo,6E-2716,Economy,20:45:00,0.0,18:21:00,135.0,Delhi,Cochin,6682
2024-01-30,Vistara,UK-809,Premium Economy,04:28:00,1.0,06:14:00,745.2,Banglore,New Delhi,14743
2024-11-22,Air Asia,I5-857,Economy,12:53:00,1.0,00:50:00,334.8,Delhi,Cochin,6375
2024-09-02,Vistara,UK-855,Premium Economy,17:12:00,2.0,01:42:00,334.8,Delhi,Cochin,15622
2024-11-11,Spicejet,SG-8701,Economy,08:28:00,2.0,23:04:00,124.80000000000001,Delhi,Cochin,5794
2024-10-18,Vistara,UK-963,Premium Economy,00:32:00,1.0,23:40:00,139.8,Delhi,Cochin,11646
2024-10-31,Vistara,UK-781,Business,05:51:00,1.0,08:39:00,1035.0,Delhi,Cochin,60985
2024-03-12,Vistara,UK-747,Economy,03:22:00,0.0,12:06:00,1020.0,Kolkata,Banglore,17399
2024-03-30,Vistara,UK-817,Business,16:26:00,0.0,21:59:00,435.0,Kolkata,Banglore,84726
2024-08-08,Vistara,UK-839,Premium Economy,15:50:00,1.0,18:55:00,529.8,Delhi,Cochin,26486
2024-04-02,Vistara,UK-943,Business,19:35:00,0.0,12:23:00,130.2,Banglore,Delhi,22152
2024-06-28,Vistara,UK-979,Economy,09:02:00,1.0,18:09:00,319.8,Delhi,Cochin,19862
2024-02-28,Air Asia,I5-743,Economy,05:25:00,2.0,00:35:00,880.2,Banglore,New Delhi,4827
2024-11-21,Vistara,UK-993,Economy,19:46:00,1.0,15:27:00,130.2,Delhi,Cochin,5955
2024-03-31,Go First,G8-719,Economy,05:09:00,1.0,22:34:00,615.0,Kolkata,Banglore,13665
2024-03-31,Vistara,UK-819,Business,06:59:00,1.0,07:14:00,450.0,Kolkata,Banglore,68150
2024-09-22,Vistara,UK-933,Business,07:38:00,1.0,07:28:00,124.80000000000001,Kolkata,Banglore,30104
2024-08-26,Indigo,6E-5345,Economy,10:56:00,1.0,23:40:00,544.8,Kolkata,Banglore,5688
2024-05-18,Air India,AI-803,Economy,15:51:00,0.0,04:30:00,919.8,Banglore,Delhi,8517
2024-03-21,Vistara,UK-945,Business,06:47:00,1.0,07:13:00,135.0,Banglore,New Delhi,41528
2024-10-06,Vistara,UK-933,Economy,03:14:00,1.0,23:10:00,124.80000000000001,Delhi,Cochin,6533
2024-09-08,Air India,AI-429,Economy,17:42:00,1.0,14:28:00,835.2,Kolkata,Banglore,9630
2024-12-23,Air India,AI-815,Business,20:11:00,1.0,02:42:00,355.2,Delhi,Cochin,53164
2024-05-29,Vistara,UK-859,Economy,13:40:00,1.0,19:44:00,385.2,Delhi,Cochin,12990
2024-09-28,Vistara,UK-979,Economy,04:35:00,1.0,00:41:00,1009.8,Banglore,New Delhi,9872
2024-07-16,Air Asia,I5-784,Economy,20:35:00,0.0,03:56:00,490.2,Kolkata,Banglore,6872
2024-01-19,Vistara,UK-955,Premium Economy,12:03:00,2.0,16:02:00,130.2,Delhi,Cochin,7278
2024-05-10,Vistara,UK-819,Economy,11:45:00,1.0,05:19:00,550.2,Delhi,Cochin,9961
2024-03-29,Air India,AI-554,Economy,12:20:00,1.0,07:03:00,625.2,Delhi,Cochin,8958
2024-09-15,Air India,AI-406,Economy,00:59:00,1.0,16:11:00,334.8,Delhi,Cochin,11205
2024-11-28,Indigo,6E-2411,Economy,03:04:00,1.0,19:35:00,480.0,Kolkata,Banglore,9388
2024-11-14,Air India,AI-429,Economy,18:09:00,1.0,12:51:00,750.0,Kolkata,Banglore,12276
2024-12-10,Vistara,UK-859,Premium Economy,11:14:00,0.0,04:39:00,1305.0,Banglore,Delhi,12822
2024-09-15,Air India,AI-636,Economy,01:59:00,0.0,20:39:00,225.0,Kolkata,Banglore,6480
2024-07-14,Air India,AI-839,Business,12:33:00,0.0,10:35:00,1045.2,Mumbai,Hyderabad,41113
2024-12-25,Air India,AI-817,Business,13:59:00,0.0,15:07:00,1030.2,Kolkata,Banglore,31462
2024-07-31,Air India,AI-863,Business,09:56:00,2.0,21:07:00,139.8,Delhi,Cochin,22152
2024-06-01,Vistara,UK-975,Business,18:25:00,1.0,09:23:00,135.0,Kolkata,Banglore,22152
2024-06-14,Vistara,UK-969,Business,16:57:00,1.0,01:20:00,940.2,Delhi,Cochin,30249
2024-01-08,Air India,AI-863,Economy,14:32:00,1.0,11:50:00,139.8,Kolkata,Banglore,5955
2024-01-15,Air India,AI-542,Business,00:26:00,2.0,13:52:00,859.8,Delhi,Cochin,41113
2024-02-18,Vistara,UK-979,Economy,06:18:00,1.0,14:54:00,319.8,Delhi,Cochin,24015
2024-08-12,Air India,AI-636,Business,03:34:00,0.0,19:51:00,225.0,Mumbai,Hyderabad,22152
2024-12-13,Vistara,UK-879,Premium Economy,06:27:00,0.0,14:06:00,880.2,Banglore,Delhi,12822
2024-05-02,Air India,AI-560,Economy,00:32:00,0.0,09:18:00,1015.2,Kolkata,Banglore,8895
2024-04-13,Air India,AI-429,Business,18:20:00,1.0,05:14:00,490.2,Delhi,Cochin,50969
2024-01-24,Vistara,UK-747,Economy,17:55:00,1.0,09:45:00,390.0,Kolkata,Banglore,17084
2024-12-10,Indigo,6E-2505,Economy,08:40:00,0.0,16:39:00,139.8,Kolkata,Banglore,6164
2024-05-19,Vistara,UK-839,Business,18:10:00,1.0,12:04:00,529.8,Delhi,Cochin,51384
2024-03-09,Vistara,UK-627,Economy,16:28:00,0.0,18:07:00,1485.0,Delhi,Cochin,7740
2024-03-21,Air India,AI-475,Business,07:50:00,0.0,01:22:00,1489.8,Chennai,Kolkata,29805
2024-05-03,Air Asia,I5-857,Economy,13:18:00,0.0,17:48:00,334.8,Mumbai,Hyderabad,6375
2024-05-14,Indigo,6E-2519,Economy,21:26:00,0.0,11:16:00,139.8,Banglore,New Delhi,5899
2024-08-15,Vistara,UK-871,Business,12:12:00,0.0,23:30:00,799.8,Kolkata,Banglore,63928
2024-02-14,Indigo,6E-5345,Economy,01:53:00,0.0,03:24:00,544.8,Banglore,Delhi,5688
